_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,lowFps,generic,deleted
0,"unknown","Pistol","","","ハンドガン","","",1,0,false,false
1,"unknown","Rifle","","","ライフル","","",2,0,false,false
2,"unknown","Shotgun","","","ショットガン","","",4,0,false,true
3,"unknown","SMG","","","SMG","","",1,0,false,true

25,"other","Other Pistol","","","その他のハンドガン","","",1,1,false,true
26,"other","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
27,"other","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
28,"other","Other Rifle","","","その他のライフル","","",2,1,false,true
29,"other","Other Rifle","","","その他のライフル","","",2,2,false,true
30,"other","Other Rifle","","","その他のライフル","","",2,4,false,true
31,"other","Other Shotgun","","","その他のショットガン","","",4,1,false,true
32,"other","Other Shotgun","","","その他のショットガン","","",4,2,false,true
33,"other","Other Shotgun","","","その他のショットガン","","",4,4,false,true
34,"other","Other SMG","","","その他のSMG","","",8,1,false,true
35,"other","Other SMG","","","その他のSMG","","",8,2,false,true
36,"other","Other SMG","","","その他のSMG","","",8,4,false,true
37,"other","Other Pistol","","","その他のハンドガン","","",1,1,true,true
38,"other","Other Pistol","","","その他のハンドガン","","",1,2,true,true
39,"other","Other Pistol","","","その他のハンドガン","","",1,4,true,true
40,"other","Other Rifle","","","その他のライフル","","",2,1,true,true
41,"other","Other Rifle","","","その他のライフル","","",2,2,true,true
42,"other","Other Rifle","","","その他のライフル","","",2,4,true,true
43,"other","Other Shotgun","","","その他のショットガン","","",4,1,true,true
44,"other","Other Shotgun","","","その他のショットガン","","",4,2,true,true
45,"other","Other Shotgun","","","その他のショットガン","","",4,4,true,true
46,"other","Other SMG","","","その他のSMG","","",8,1,true,true
47,"other","Other SMG","","","その他のSMG","","",8,2,true,true
48,"other","Other SMG","","","その他のSMG","","",8,4,true,true

50,"wa","Other Pistol","","","その他のハンドガン","","",1,1,false,true
51,"wa","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
52,"wa","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
53,"wa","Other Rifle","","","その他のライフル","","",2,1,false,true
54,"wa","Other Rifle","","","その他のライフル","","",2,2,false,true
55,"wa","Other Rifle","","","その他のライフル","","",2,4,false,true
56,"wa","Other Shotgun","","","その他のショットガン","","",4,1,false,true
57,"wa","Other Shotgun","","","その他のショットガン","","",4,2,false,true
58,"wa","Other Shotgun","","","その他のショットガン","","",4,4,false,true
59,"wa","Other SMG","","","その他のSMG","","",8,1,false,true
60,"wa","Other SMG","","","その他のSMG","","",8,2,false,true
61,"wa","Other SMG","","","その他のSMG","","",8,4,false,true
62,"wa","Other Pistol","","","その他のハンドガン","","",1,1,true,true
63,"wa","Other Pistol","","","その他のハンドガン","","",1,2,true,true
64,"wa","Other Pistol","","","その他のハンドガン","","",1,4,true,true
65,"wa","Other Rifle","","","その他のライフル","","",2,1,true,true
66,"wa","Other Rifle","","","その他のライフル","","",2,2,true,true
67,"wa","Other Rifle","","","その他のライフル","","",2,4,true,true
68,"wa","Other Shotgun","","","その他のショットガン","","",4,1,true,true
69,"wa","Other Shotgun","","","その他のショットガン","","",4,2,true,true
