_id,type,name,description,url,nameJa,descriptionJa,urlJa,range100x,unitOfRange,virtualTargetName,positionsMask,gunTypesMask,sightTypesMask,numOfShots,duration,numOfStages,nextId
1,"","5m Slow Fire Freestyle","5m(5.47yds), 10shots/4min. Any type of guns, sights and firing positions are permitted.","","5m 精密射撃 フリースタイル","5m, 10発/4分。銃の種類・サイト・射撃姿勢の制限なし。","",500,0,"",0,0,0,10,240,1,2
2,"","5m Timed Fire Freestyle","5m(5.47yds), 5shots/20sec. Any type of guns, sights and firing positions are permitted.","","5m 時限射撃 フリースタイル","5m, 5発/20秒。銃の種類・サイト・射撃姿勢の制限なし。","",500,0,"",0,0,0,5,20,1,3
3,"","5m Rapid Fire Freestyle","5m(5.47yds), 5shots/10sec. Any type of guns, sights and firing positions are permitted.","","5m 速射 フリースタイル","5m, 5発/10秒。銃の種類・サイト・射撃姿勢の制限なし。","",500,0,"",0,0,0,5,10,1,0
11,"","10m Slow Fire Freestyle","10m(10.94yds), 10shots/4min. Any type of guns, sights and firing positions are permitted.","","10m 精密射撃 フリースタイル","10m, 10発/4分。銃の種類・サイト・射撃姿勢の制限なし。","",1000,0,"",0,0,0,10,240,1,12
12,"","10m Timed Fire Freestyle","10m(10.94yds), 5shots/20sec. Any type of guns, sights and firing positions are permitted.","","10m 時限射撃 フリースタイル","10m, 5発/20秒。銃の種類・サイト・射撃姿勢の制限なし。","",1000,0,"",0,0,0,5,20,1,13
13,"","10m Rapid Fire Freestyle","10m(10.94yds), 5shots/10sec. Any type of guns, sights and firing positions are permitted.","","10m 速射 フリースタイル","10m, 5発/10秒。銃の種類・サイト・射撃姿勢の制限なし。","",1000,0,"",0,0,0,5,10,1,0
21,"nra_onestring","5yds Slow Fire, NRA Precision Pistol MODIFIED","5yds, 10shots/10min. Piltol only any sights except laser pointer are permitted. Standing position, gun held in one hand only.","https://en.wikipedia.org/wiki/NRA_Precision_Pistol","5ヤード 精密射撃, NRA Precision Pistol MODIFIED","5ヤード(4.57m), 10発, 10分。立射片手撃ちピストルのみ。サイトはレーザーポインタ以外使用可能","",500,1,"nra_b6",1,1,15,10,600,1,22
22,"nra","5yds Timed Fire, NRA Precision Pistol MODIFIED","5yds, 5shots/20sec x 2strings. Piltol only any sights except laser pointer are permitted. Standing position, gun held in one hand only.","https://en.wikipedia.org/wiki/NRA_Precision_Pistol","5ヤード 時限射撃, NRA Precision Pistol MODIFIED","5ヤード(4.57m), 5発, 20秒。立射片手撃ちピストルのみ。サイトはレーザーポインタ以外使用可能","",500,1,"nra_b8",1,1,15,5,20,2,23
23,"nra","5yds Rapid Fire, NRA Precision Pistol MODIFIED","5yds, 5shots/10sec x 2strings. Piltol only any sights except laser pointer are permitted. Standing position, gun held in one hand only.","https://en.wikipedia.org/wiki/NRA_Precision_Pistol","５ヤード 速射, NRA Precision Pistol MODIFIED","5ヤード(4.57m), 5発, 10秒。立射片手撃ちピストルのみ。サイトはレーザーポインタ以外使用可能","",500,1,"nra_b8",1,1,15,5,10,2,0
31,"nra_onestring","10yds Slow Fire, NRA Precision Pistol MODIFIED","10yds, 10shots/10min. Piltol only any sights except laser pointer are permitted. Standing position, gun held in one hand only.","https://en.wikipedia.org/wiki/NRA_Precision_Pistol","10ヤード 精密射撃, NRA Precision Pistol MODIFIED","10ヤード(9.14m), 10発, 10分。立射片手撃ちピストルのみ。サイトはレーザーポインタ以外使用可能","",1000,1,"nra_b6",1,1,15,10,600,1,32
