_id,shortName,longName,altName,description,url,shortNameJa,longNameJa,altNameJa,descriptionJa,urlJa
a&k,"A&K","A&K AIRSOFT","","","http://www.akairsoft.com/","","","エーアンドケー","",""
agm,"AGM","","","","","","","エージーエム","",""
aps,"APS","","","","http://www.aps-concept.com/","","","エーピーエス","",""
arcturus,"ARCTURUS","","","","https://arcturus-tactical.com/","","","アークタウラス","",""
amoeba,"AMOEBA","AMOEBA AIRSOFT","","","https://amoeba-airsoft.com/","","","アメーバ","",""
ares,"ARES","ARES AIRSOFT","","","http://www.aresairsoft.com/","","","アレス","",""
asg,"ASG","ActionSportGames (ASG)","","","https://actionsportgames.com/","","","エーエスジー","",""
baton,"BATON","BATON airsoft","","","https://batonairsoft.com/","","","バトン","",""
bolt,"BOLT","BOLT AIRSOFT","","","https://www.bolt.tw/","","","ボルト","","https://www.bolt-japan.jp/"
carbon8,"Carbon8","","","","https://www.honeybee-warehouse.com/carbon8-menu","","","カーボン8","",""
cat,"C.A.T.","C.A.T. AIRSOFT","CAT","","https://catairsoft.com/","","","キャット","",""
classicarmy,"CA","CLASSIC ARMY","","","http://www.classicarmy.com/","CA","クラシックアーミー (CA)","","",""
crown,"CROWN","CROWN MODEL","","","http://www.crown-model.co.jp/","クラウン","クラウンモデル","","",""
cybergun,"CYBERGUN","","","","https://cybergun.com/","","","サイバーガン","","https://cybergun.jp"
cyma,"CYMA","","","","https://cymagun.com/","CYMA","CYMA (シーマ)","","",""
doubleeagle,"DE","DOUBLE EAGLE AIRSOFT","","","http://www.deairsoft.com/","","","ダブルイーグル","",""
e&l,"E&L","E&L AIRSOFT","","","https://el-airsoft.com/","","","イーアンドエル","",""
emg,"EMG","EMG Arms","","","http://www.emgarms.com/","","","イーエムジー","",""
g&g,"G&G","G&G ARMAMENT","","","https://www.guay2.com/","","","ジーアンドジー","","https://www.guay2.com/ja"
g&p,"G&P","","","","http://www.gp-web.com/","","","ジーアンドピー","","http://www.gp-web.jp/"
gbls,"GBLS","","","","https://www.gblsusa.com/","","","ジービーエルエス","","https://bullet-airsoftgun.com/"
ghk,"GHK","GHK AIRSOFT","","","https://www.ghkairsoft.com/en/","","","ジーエッチケー","",""
hartford,"HARTFORD","","","","http://www.hartford.co.jp/","ハートフォード","","","",""
ics,"ICS","ICS AIRSOFT","","","https://www.icsbb.com/","","","アイシーエス","","https://ics.militaryblog.jp/"
kingarms,"KING ARMS","","","","http://www.kingarms.com/","","","キングアームス","",""
kjworks,"KJWORKS","KJ WORKS","","","http://www.kjworks.com.tw/","","","ケージェーワークス","",""
kokusai,"KOKUSAI","","","","","コクサイ","","","",""
krytac,"KRYTAC","","","","https://krytac.com/","","","クライタック","","http://www.krytac.jp/"
ksc,"KSC","","","","https://ksc-guns.co.jp/","","","ケーエスシー","",""
ktw,"KTW","K.T.W.","","","https://www.ktw-co.com/","KTW","ケー・ティー・ダブリュ (KTW)","ケーティーダブリュ","",""
lancer,"LANCER","LANCER TACTICAL","","","https://www.lancertactical.com/","","","ランサータクティカル","",""
lct,"LCT","LCT AIRSOFT","","","https://lctairsoft.com","LCT","LCTエアソフト","エルシーティーエアソフト","","https://lctairsoft.com/webe/html/about/about_j.aspx"
marui,"MARUI","TOKYO MARUI","","","https://www.tokyo-marui.co.jp/","マルイ","東京マルイ","トウキョウマルイ","",""
marushin,"MARUSHIN","","","","http://marushin-kk.co.jp/","マルシン","マルシン工業","","",""
maruzen,"MARUZEN","","","","https://maruzen-aps.com/","マルゼン","","","",""
novritsch,"NOVRITSCH","","","","https://novritsch.com/","","","ノブリッチ","",""
realsword,"RS","REAL SWORD","","","http://www.realsword.com.hk/index0.html/","","","リアルソード","","http://www.realsword.com.hk/jp/index.html"
s2s,"SⅡS","","S2S SIIS","","http://www.s2s.co.jp/","SⅡS","SⅡS(エスツーエス)","","",""
s&t,"S&T","S&T ARMAMENT","","","https://smartteamhk.com/","","","エスアンドティー","",""
sig,"SIG","SIG SAUER","","","https://www.sigsauer.com/airsoft.html","","","シグザウワー","",""
src,"SRC","StarRainbow Company (SRC)","","","http://www.starrainbow.com.tw/?lang=en","","","スターレインボー エスアールシー","",""
sunproject,"SUN PROJECT","","","","http://sunproject.shop1.makeshop.jp/","サンプロジェクト","サン・プロジェクト","",""
systema,"SYSTEMA","","","","http://www.systema-engineering.com/","","","システマ","",""
tanaka,"TANAKA","TANAKA WORKS","","","https://www.tanaka-works.com/","タナカ","タナカワークス","","",""
taniokoba,"TANIO KOBA","","","","http://www.taniokoba.co.jp/","タニオ・コバ","タニオ・コバ","タニオコバ","",""
umarex,"UMAREX","","","","https://www.umarex.com/","","","ウマレックス","",""
vfc,"VFC","Vega Force Company (VFC)","","","https://www.vegaforce.com/","","","ブイエフシー","","https://www.gb-tech.jp/"
wa,"WA","WESTERN ARMS","","","https://www.wa-gunnet.co.jp/","WA","ウエスタンアームズ (WA)","","",""
wetech,"WE","WE AIRSOFT (WE-Tech)","","","https://www.weairsoft.com/","WE","WE AIRSOFT (WE-Tech)","ウィーテック","","http://www.weairsoft.jp/"

other,"Other Brand","","","","","その他のブランド","","","",""
unknown,"","","","","","","","","",""
